Date,Open,High,Low,Close,Volume,DayHigh,DayLow,DayClose,DayOpen,DayVol,hour,minute,ema20,ema250,upper_shadow,RSI20,RSI10,avg_Volume,MB,STD,UB,MF,MF3d_direction,MF5d_direction,prev_High,prev_Low,prev_Close,prev_Open,prev_Vol,prev_upper_shadow,prev_avg_Volume,prev_ema20,prev_ema250,couple_cs_signal,ema20_250_cross_signal,allow_entry
2025-10-15 13:05:00,2017.9,2019.7,2017.0,2017.9,4674,2034.0,2013.5,2022.0,2018.7,281052,13,5,2022.2734227543463,1981.156011036788,1.7999999999999545,43.368298855055464,33.63861100599145,4687.3,2024.525,4.246345177773722,2030.8945177666608,-0.0,347858.1491538152,586732.3591529091,2018.5,2016.1,2017.5,2017.5,5336.0,1.0,4702.6,2022.7337830442773,1980.8608785953163,0,0,2
2025-10-15 13:10:00,2018.0,2021.5,2017.5,2021.0,5594,2034.0,2013.5,2022.0,2018.7,281052,13,10,2022.1521443967895,1981.4734930205586,0.5,47.994064931982344,46.31759581270537,4678.4,2024.0849999999998,4.125182611634025,2030.2727739174509,4195.5,349201.8491538153,582185.9723604562,2019.7,2017.0,2017.9,2017.9,4674.0,1.7999999999999545,4687.3,2022.2734227543463,1981.156011036788,0,0,0
2025-10-15 13:15:00,2021.0,2023.0,2020.4,2021.2,4785,2034.0,2013.5,2022.0,2018.7,281052,13,15,2022.0614639780476,1981.7900388929047,1.7999999999999545,48.28095745663227,47.04289804949331,4419.1,2023.6449999999998,3.925553933471045,2029.5333309002062,-1840.3846153846798,343956.96453843056,575699.7181798542,2021.5,2017.5,2021.0,2018.0,5594.0,0.5,4678.4,2022.1521443967895,1981.4734930205586,0,0,0
2025-10-15 13:20:00,2021.2,2021.4,2018.1,2019.5,4537,2034.0,2013.5,2022.0,2018.7,281052,13,20,2021.8175150277573,1982.0905166706505,0.20000000000004547,46.00997569117015,41.719351842504174,4452.75,2023.1199999999997,3.7280727348280096,2028.7121091022416,687.4242424242045,342142.1279112893,574982.8090889455,2023.0,2020.4,2021.2,2021.0,4785.0,1.7999999999999545,4419.1,2022.0614639780476,1981.7900388929047,0,0,2
2025-10-15 13:25:00,2020.0,2023.0,2018.7,2022.0,5162,2034.0,2013.5,2022.0,2018.7,281052,13,25,2021.8348945489233,1982.4085205218803,1.0,49.674309247868315,50.8141968945915,4416.8,2022.9299999999998,3.680832285797288,2028.4512484286959,2761.069767441835,342202.08656761964,571750.9621897207,2021.4,2018.1,2019.5,2021.2,4537.0,0.20000000000004547,4452.75,2021.8175150277573,1982.0905166706505,0,0,0
2025-10-15 13:30:00,2021.6,2022.9,2015.2,2017.4,7470,2034.0,2013.5,2022.0,2018.7,281052,13,30,2021.412523639502,1982.687337091427,1.300000000000182,43.90305231101604,38.52359710772627,4594.65,2022.4099999999999,3.691227153009428,2027.946840729514,3201.4285714285083,345403.51513904857,569980.7240944827,2023.0,2018.7,2022.0,2020.0,5162.0,1.0,4416.8,2021.8348945489233,1982.4085205218803,0,0,2
2025-10-15 13:35:00,2017.0,2019.9,2016.7,2018.0,3337,2034.0,2013.5,2022.0,2018.7,281052,13,35,2021.0875213881209,1982.9687128914954,1.900000000000091,44.78384668933351,40.60561431806811,4596.05,2022.0099999999998,3.715104305450454,2027.5826564581755,-625.6875000001334,344630.8864625777,571185.4651659112,2022.9,2015.2,2017.4,2021.6,7470.0,1.300000000000182,4594.65,2021.412523639502,1982.687337091427,0,0,2
2025-10-15 13:40:00,2017.8,2018.6,2014.5,2015.7,4834,2034.0,2013.5,2022.0,2018.7,281052,13,40,2020.5744241130617,1983.2295199600892,0.7999999999999545,42.11556940004725,35.486723712375735,4650.2,2021.52,3.8734725343107534,2027.3302088014661,2004.3414634144642,346863.9202336843,570373.8066293255,2019.9,2016.7,2018.0,2017.0,3337.0,1.900000000000091,4596.05,2021.0875213881209,1982.9687128914954,0,0,2
2025-10-15 13:45:00,2015.7,2017.5,2013.5,2016.0,7766,2034.0,2013.5,2022.0,2018.7,281052,13,45,2020.1387646737226,1983.4906393229571,1.5,42.58525025188748,36.64423912750625,4849.5,2021.095,3.993741814963165,2027.0856127224447,1941.5,346609.4202336843,573104.4494864682,2018.6,2014.5,2015.7,2017.8,4834.0,0.7999999999999545,4650.2,2020.5744241130617,1983.2295199600892,0,0,2
2025-10-15 13:50:00,2016.0,2019.4,2015.6,2017.2,5866,2034.0,2013.5,2022.0,2018.7,281052,13,50,2019.8588823238442,1983.7592398064396,2.2000000000000455,44.48200529160261,41.32332148416648,4971.4,2020.575,3.7731565733069723,2026.2347348599606,-926.2105263156047,340260.4824346415,564291.9722934858,2017.5,2013.5,2016.0,2015.7,7766.0,1.5,4849.5,2020.1387646737226,1983.4906393229571,0,0,2
