Date,Open,High,Low,Close,Volume,time_d,DayHigh,DayLow,DayClose,DayOpen,DayVol,hour,minute,allow_entry
2025-10-10 10:40:00,1943.3,1944.9,1942.2,1944.8,3416,2025-10-10,1975.9,1936.2,1975.9,1940.0,268455,10,40,long
2025-10-10 10:45:00,1944.8,1945.7,1944.2,1945.2,2893,2025-10-10,1975.9,1936.2,1975.9,1940.0,268455,10,45,long
2025-10-10 10:50:00,1945.2,1947.3,1944.6,1946.5,4092,2025-10-10,1975.9,1936.2,1975.9,1940.0,268455,10,50,long
2025-10-10 10:55:00,1946.5,1948.9,1945.0,1948.4,5759,2025-10-10,1975.9,1936.2,1975.9,1940.0,268455,10,55,long
2025-10-10 11:00:00,1948.4,1949.0,1945.5,1946.0,4167,2025-10-10,1975.9,1936.2,1975.9,1940.0,268455,11,0,long
2025-10-10 11:05:00,1946.2,1948.5,1946.0,1946.1,2764,2025-10-10,1975.9,1936.2,1975.9,1940.0,268455,11,5,long
2025-10-10 11:10:00,1946.0,1948.5,1945.6,1947.7,3100,2025-10-10,1975.9,1936.2,1975.9,1940.0,268455,11,10,long
2025-10-10 11:15:00,1947.7,1949.0,1947.0,1948.4,2920,2025-10-10,1975.9,1936.2,1975.9,1940.0,268455,11,15,long
2025-10-10 11:20:00,1948.3,1949.0,1947.6,1947.7,1486,2025-10-10,1975.9,1936.2,1975.9,1940.0,268455,11,20,long
2025-10-10 11:25:00,1947.7,1949.8,1947.3,1949.6,3395,2025-10-10,1975.9,1936.2,1975.9,1940.0,268455,11,25,long
2025-10-10 13:00:00,1949.7,1951.8,1948.6,1951.3,4952,2025-10-10,1975.9,1936.2,1975.9,1940.0,268455,13,0,long
2025-10-10 13:05:00,1951.3,1952.5,1950.2,1950.8,5232,2025-10-10,1975.9,1936.2,1975.9,1940.0,268455,13,5,long
2025-10-10 13:10:00,1950.8,1953.5,1950.8,1952.9,4862,2025-10-10,1975.9,1936.2,1975.9,1940.0,268455,13,10,long
2025-10-10 13:15:00,1952.9,1957.3,1952.9,1955.1,9628,2025-10-10,1975.9,1936.2,1975.9,1940.0,268455,13,15,long
2025-10-10 13:20:00,1955.1,1955.9,1954.2,1955.0,2498,2025-10-10,1975.9,1936.2,1975.9,1940.0,268455,13,20,long
2025-10-10 13:25:00,1954.6,1956.3,1953.7,1954.9,2973,2025-10-10,1975.9,1936.2,1975.9,1940.0,268455,13,25,long
2025-10-10 13:30:00,1954.9,1956.3,1953.5,1954.0,3416,2025-10-10,1975.9,1936.2,1975.9,1940.0,268455,13,30,long
2025-10-10 13:35:00,1954.3,1958.4,1954.0,1958.2,5965,2025-10-10,1975.9,1936.2,1975.9,1940.0,268455,13,35,long
2025-10-10 13:40:00,1958.2,1960.5,1957.0,1957.0,9747,2025-10-10,1975.9,1936.2,1975.9,1940.0,268455,13,40,long
2025-10-10 13:45:00,1957.0,1959.7,1956.8,1958.5,3741,2025-10-10,1975.9,1936.2,1975.9,1940.0,268455,13,45,long
2025-10-10 13:50:00,1958.6,1960.4,1957.8,1958.7,4143,2025-10-10,1975.9,1936.2,1975.9,1940.0,268455,13,50,long
2025-10-10 13:55:00,1958.7,1964.3,1957.8,1963.6,8309,2025-10-10,1975.9,1936.2,1975.9,1940.0,268455,13,55,
2025-10-10 14:00:00,1963.6,1964.8,1959.2,1961.0,7536,2025-10-10,1975.9,1936.2,1975.9,1940.0,268455,14,0,
2025-10-10 14:05:00,1961.0,1961.0,1958.5,1959.6,5621,2025-10-10,1975.9,1936.2,1975.9,1940.0,268455,14,5,
2025-10-10 14:10:00,1959.5,1960.9,1953.0,1955.9,10994,2025-10-10,1975.9,1936.2,1975.9,1940.0,268455,14,10,long
2025-10-10 14:15:00,1955.9,1964.8,1954.2,1962.2,12633,2025-10-10,1975.9,1936.2,1975.9,1940.0,268455,14,15,long
2025-10-10 14:20:00,1962.2,1975.0,1962.0,1973.0,18757,2025-10-10,1975.9,1936.2,1975.9,1940.0,268455,14,20,both
2025-10-10 14:25:00,1973.0,1974.8,1969.3,1971.7,9908,2025-10-10,1975.9,1936.2,1975.9,1940.0,268455,14,25,
2025-10-10 14:45:00,1975.9,1975.9,1975.9,1975.9,7112,2025-10-10,1975.9,1936.2,1975.9,1940.0,268455,14,45,
2025-10-13 09:00:00,1965.6,1967.1,1957.7,1962.2,14926,2025-10-13,2021.0,1957.7,2013.6,1965.6,276587,9,0,long
2025-10-13 09:05:00,1962.5,1962.9,1960.3,1962.0,3424,2025-10-13,2021.0,1957.7,2013.6,1965.6,276587,9,5,long
2025-10-13 09:10:00,1962.0,1965.0,1961.0,1965.0,3606,2025-10-13,2021.0,1957.7,2013.6,1965.6,276587,9,10,long
2025-10-13 09:15:00,1965.0,1972.9,1964.7,1970.0,12794,2025-10-13,2021.0,1957.7,2013.6,1965.6,276587,9,15,long
2025-10-13 09:20:00,1970.2,1972.0,1969.1,1971.5,4248,2025-10-13,2021.0,1957.7,2013.6,1965.6,276587,9,20,long
2025-10-13 09:25:00,1971.5,1978.4,1970.9,1977.5,7885,2025-10-13,2021.0,1957.7,2013.6,1965.6,276587,9,25,
2025-10-13 09:30:00,1977.5,1979.2,1972.7,1973.1,7761,2025-10-13,2021.0,1957.7,2013.6,1965.6,276587,9,30,long
